Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	AlphaGammaPrime
600	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0	3.6155019999999998
700	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0	3.619985
800	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0	3.6252269999999998
900	0.7392	0.0	0.019	0.0	0.0233	0.1654	0.0	0.0	0.0531	0.0	0.0	0.0	0.0	0.0	3.6308550000000004
1000	0.7351000000000001	0.0	0.0223	0.0	0.022400000000000003	0.166	0.0	0.0	0.0543	0.0	0.0	0.0	0.0	0.0	3.6358
1100	0.7312000000000001	0.0	0.024700000000000003	0.0	0.021	0.16690000000000002	0.0	0.0	0.0563	0.0	0.0	0.0	0.0	0.0	3.6411839999999995
25	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0	3.591424
300	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0	3.602238
500	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0	3.610013
600	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0	3.613979
700	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0	3.618529
800	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0	3.6237489999999997
900	0.7353000000000001	0.0	0.0195	0.0	0.0158	0.16390000000000002	0.0	0.0	0.0654	0.0	0.0	0.0	0.0	0.0	3.628782
1000	0.7353000000000001	0.0	0.0195	0.0	0.0158	0.16390000000000002	0.0	0.0	0.0654	0.0	0.0	0.0	0.0	0.0	3.6345660000000004
1100	0.731	0.0	0.022	0.0	0.0148	0.16440000000000002	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	3.6405230000000004
25	0.6849	0.0565	0.0221	0.0067	0.0328	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0	3.590035
300	0.6849	0.0565	0.0221	0.0067	0.0328	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0	3.602699
500	0.6849	0.0565	0.0221	0.0067	0.0328	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0	3.610235
600	0.6849	0.0565	0.0221	0.0067	0.0328	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0	3.615079
700	0.6849	0.0565	0.0221	0.0067	0.0328	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0	3.6193400000000002
800	0.6849	0.0565	0.0221	0.0067	0.0328	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0	3.6235699999999995
900	0.6796	0.0593	0.0239	0.006500000000000001	0.032400000000000005	0.1606	0.0	0.0	0.0378	0.0	0.0	0.0	0.0	0.0	3.629258
1000	0.6708	0.0641	0.0268	0.006	0.0313	0.16210000000000002	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	3.635211
1100	0.6631999999999999	0.0679	0.0286	0.0054	0.0297	0.16399999999999998	0.0	0.0	0.0413	0.0	0.0	0.0	0.0	0.0	3.641508
25	0.6960999999999999	0.0493	0.0173	0.0	0.0289	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0	3.5870900000000003
300	0.6960999999999999	0.0493	0.0173	0.0	0.0289	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0	3.598329
500	0.6960999999999999	0.0493	0.0173	0.0	0.0289	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0	3.606449
600	0.6960999999999999	0.0493	0.0173	0.0	0.0289	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0	3.610975
700	0.6960999999999999	0.0493	0.0173	0.0	0.0289	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0	3.6160069999999997
800	0.6960999999999999	0.0493	0.0173	0.0	0.0289	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0	3.621682
900	0.6915	0.0522	0.019	0.0	0.0285	0.1697	0.0	0.0	0.0373	0.0	0.0019	0.0	0.0	0.0	3.627587
1000	0.6823	0.0564	0.0214	0.0	0.0273	0.1718	0.0	0.0	0.0392	0.0	0.0016	0.0	0.0	0.0	3.634332
1100	0.6753	0.0601	0.0229	0.0	0.0258	0.172	0.0	0.0	0.0425	0.0	0.0014000000000000002	0.0	0.0	0.0	3.6395410000000004
25	0.7384000000000001	0.0	0.040199999999999986	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0	3.5864309999999997
300	0.7384000000000001	0.0	0.040199999999999986	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0	3.597203
500	0.7384000000000001	0.0	0.040199999999999986	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0	3.6056410000000003
600	0.7384000000000001	0.0	0.040199999999999986	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0	3.610054
