Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium
700	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0
800	0.7422	0.0	0.0173	0.0	0.0239	0.1641	0.0	0.0	0.0525	0.0	0.0	0.0	0.0	0.0
900	0.7392	0.0	0.019	0.0	0.0233	0.1654	0.0	0.0	0.053099999999999994	0.0	0.0	0.0	0.0	0.0
1000	0.7351000000000001	0.0	0.0223	0.0	0.022400000000000003	0.166	0.0	0.0	0.054299999999999994	0.0	0.0	0.0	0.0	0.0
1100	0.7312000000000001	0.0	0.024700000000000003	0.0	0.021	0.16690000000000002	0.0	0.0	0.056299999999999996	0.0	0.0	0.0	0.0	0.0
25	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0
300	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0
500	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0
600	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0
700	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0
800	0.7422	0.0	0.0148	0.0	0.017	0.1625	0.0	0.0	0.0634	0.0	0.0	0.0	0.0	0.0
900	0.7353000000000001	0.0	0.0195	0.0	0.0158	0.16390000000000002	0.0	0.0	0.0654	0.0	0.0	0.0	0.0	0.0
1000	0.7353000000000001	0.0	0.0195	0.0	0.0158	0.16390000000000002	0.0	0.0	0.0654	0.0	0.0	0.0	0.0	0.0
1100	0.731	0.0	0.022000000000000002	0.0	0.0148	0.16440000000000002	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0
