Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold
25	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.5619	0.16219999999999998	0.1597	0.0263	0.0556	0.0269	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.5807	0.1497	0.1474	0.0255	0.055099999999999996	0.0331	0.0	0.0	0.0084	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.6092	0.1293	0.1257	0.023700000000000002	0.053899999999999997	0.0479	0.0	0.0	0.0103	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.6294	0.1131	0.106	0.0213	0.0519	0.0658	0.0	0.0	0.0126	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.5858	0.14730000000000001	0.15869999999999998	0.0	0.047400000000000005	0.032799999999999996	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0
300	0.5858	0.14730000000000001	0.15869999999999998	0.0	0.047400000000000005	0.032799999999999996	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0
500	0.5858	0.14730000000000001	0.15869999999999998	0.0	0.047400000000000005	0.032799999999999996	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0
600	0.5858	0.14730000000000001	0.15869999999999998	0.0	0.047400000000000005	0.032799999999999996	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0
700	0.5858	0.14730000000000001	0.15869999999999998	0.0	0.047400000000000005	0.032799999999999996	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0
800	0.5858	0.14730000000000001	0.15869999999999998	0.0	0.047400000000000005	0.032799999999999996	0.0	0.0	0.0074	0.0	0.0206	0.0	0.0	0.0	0.0	0.0
900	0.5995	0.1371	0.1481	0.0	0.0471	0.0401	0.0	0.0	0.0083	0.0	0.0197	0.0	0.0	0.0	0.0	0.0
1000	0.6259	0.1182	0.1247	0.0	0.045700000000000005	0.057999999999999996	0.0	0.0	0.0103	0.0	0.0172	0.0	0.0	0.0	0.0	0.0
1100	0.6423000000000001	0.1036	0.1042	0.0	0.0435	0.0789	0.0	0.0	0.0129	0.0	0.014499999999999999	0.0	0.0	0.0	0.0	0.0
25	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039000000000000003	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039000000000000003	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039000000000000003	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039000000000000003	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039000000000000003	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.6305	0.0	0.26530000000000004	0.0653	0.0	0.0296	0.004699999999999999	0.0039000000000000003	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.6397999999999999	0.0	0.24850000000000003	0.0635	0.0	0.0361	0.0064	0.004699999999999999	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.6622	0.0	0.20920000000000002	0.057300000000000004	0.0	0.0524	0.0111	0.0067	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.6951	0.0	0.1863	0.0762	0.0	0.0355	0.002	0.0049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.6998000000000001	0.0	0.174	0.0741	0.0	0.0435	0.0027	0.0059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
