Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
600	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.605601		$\gamma$
700	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.609699		$\gamma$
800	0.5654	0.1493	0.174	0.0	0.0794	0.0271	0.0	0.0	0.0048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.615086		$\gamma$
900	0.5848	0.1375	0.16010000000000002	0.0	0.0787	0.0334	0.0	0.0	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621905		$\gamma$
25	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5852		$\gamma$
300	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.596159		$\gamma$
500	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.604759		$\gamma$
600	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.609254		$\gamma$
700	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613886		$\gamma$
800	0.7375	0.0	0.1834	0.0	0.0355	0.038	0.0	0.0	0.005600000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.619596		$\gamma$
900	0.6859000000000001	0.0	0.2246	0.0	0.0462	0.0321	0.0	0.0	0.011200000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.626669		$\gamma$
1000	0.7003	0.0	0.1953	0.0	0.044500000000000005	0.0462	0.0	0.0	0.0137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.633764		$\gamma$
1100	0.708	0.0	0.1707	0.0	0.0425	0.0623	0.0	0.0	0.016399999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.642603		$\gamma$
25	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5840410000000005		$\gamma$
500	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.604095		$\gamma$
600	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.608573		$\gamma$
700	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613628		$\gamma$
